City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Moirang,IN,2021-09-29 03:48:31,24.5,93.7667,77.05,68,100,2.51
103,Mitu,CO,2021-09-29 03:48:32,1.1983,-70.1733,70.59,99,98,1.48
104,Port Alfred,ZA,2021-09-29 03:48:33,-33.5906,26.891,58.06,85,100,11.74
105,Alta Floresta,BR,2021-09-29 03:48:34,-9.8756,-56.0861,69.12,97,68,3.85
106,Punta Arenas,CL,2021-09-29 03:48:35,-53.15,-70.9167,46.51,46,20,40.29
107,Abalak,RU,2021-09-29 03:44:39,58.1286,68.5944,37.4,77,40,8.81
108,The Pas,CA,2021-09-29 03:48:37,53.8251,-101.2541,62.62,67,1,14.97
109,Qaanaaq,GL,2021-09-29 03:48:38,77.484,-69.3632,26.8,77,100,3.51
110,Avarua,CK,2021-09-29 03:48:39,-21.2078,-159.775,80.65,69,100,4.61
111,Astoria,US,2021-09-29 03:48:40,46.1879,-123.8313,54.93,86,75,3.0
112,Ballina,AU,2021-09-29 03:48:41,-28.8667,153.5667,71.56,55,40,17.27
113,Antofagasta,CL,2021-09-29 03:47:25,-23.65,-70.4,58.28,78,20,3.2
114,Balkhash,KZ,2021-09-29 03:48:42,46.844,74.9804,56.01,62,0,11.18
115,Ushtobe,KZ,2021-09-29 03:48:42,45.2514,77.9838,67.6,30,97,8.12
116,Puerto Ayora,EC,2021-09-29 03:48:42,-0.7393,-90.3518,69.33,92,77,7.9
117,Bardsir,IR,2021-09-29 03:48:43,29.9227,56.5743,57.25,23,3,3.36
118,Roseburg,US,2021-09-29 03:46:26,43.2165,-123.3417,55.51,91,90,0.0
119,Tiksi,RU,2021-09-29 03:48:02,71.6872,128.8694,33.15,82,100,2.13
120,Hervey Bay,AU,2021-09-29 03:48:44,-25.2986,152.8535,74.03,58,100,10.67
121,Saldanha,ZA,2021-09-29 03:45:08,-33.0117,17.9442,55.45,76,0,23.94
122,Nianzishan,CN,2021-09-29 03:48:45,47.5167,122.8833,53.96,35,2,10.74
123,Bereda,ES,2021-09-29 03:48:45,43.2686,-7.5406,56.95,100,94,2.64
124,Luang Prabang,LA,2021-09-29 03:48:46,19.8856,102.1347,78.76,83,90,2.3
125,East London,ZA,2021-09-29 03:48:47,-33.0153,27.9116,58.14,82,75,4.61
126,Buea,CM,2021-09-29 03:48:48,4.1527,9.241,66.97,92,96,1.28
127,Lufilufi,WS,2021-09-29 03:48:49,-13.8745,-171.5986,87.58,77,19,19.95
128,Caravelas,BR,2021-09-29 03:48:49,-17.7125,-39.2481,69.93,89,0,5.55
129,Huarmey,PE,2021-09-29 03:48:50,-10.0681,-78.1522,63.01,87,27,6.8
130,Forest Grove,US,2021-09-29 03:48:51,45.5198,-123.1107,54.95,76,40,1.01
131,Norman Wells,CA,2021-09-29 03:48:51,65.282,-126.8329,30.24,86,75,10.36
132,Yellowknife,CA,2021-09-29 03:48:52,62.456,-114.3525,47.41,100,1,1.99
133,Middleton,GB,2021-09-29 03:48:53,53.55,-2.2,49.41,96,98,7.16
134,Georgetown,MY,2021-09-29 03:47:21,5.4112,100.3354,85.89,82,20,1.01
135,Bengkulu,ID,2021-09-29 03:48:54,-3.8004,102.2655,83.07,73,89,4.07
136,Illapel,CL,2021-09-29 03:48:54,-31.6308,-71.1653,60.49,45,75,1.77
137,Batemans Bay,AU,2021-09-29 03:48:55,-35.7167,150.1833,65.19,83,100,5.7
