City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Gemena,CD,3.25,19.7667,82.24,66,100,1.77,overcast clouds
120,Trelew,AR,-43.249,-65.3051,58.08,29,2,16.26,clear sky
121,Jiaocheng,CN,24.6774,116.1389,76.3,83,0,2.1,clear sky
122,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,88,75,14.97,broken clouds
123,Kallaste,EE,58.655,27.1592,53.83,79,100,19.35,overcast clouds
124,Pevek,RU,69.7008,170.3133,22.87,91,99,10.63,overcast clouds
125,Bafata,GW,12.1667,-14.75,86.14,67,100,4.76,overcast clouds
126,Novikovo,RU,51.1537,37.8879,52.34,62,32,7.0,scattered clouds
127,Tigzirt,DZ,36.8886,4.1198,80.37,57,0,7.54,clear sky
128,Igboho,NG,8.8333,3.75,84.11,67,74,0.96,moderate rain
129,Asfi,MA,32.2994,-9.2372,71.17,72,88,18.1,overcast clouds
130,Kutum,SD,14.2,24.6667,87.69,18,97,7.29,overcast clouds
131,Ancud,CL,-41.8697,-73.8203,49.53,66,58,8.37,broken clouds
132,Yunyang,CN,33.4474,112.7142,74.79,77,19,1.68,light rain
133,Lata,PT,40.1629,-8.3327,69.35,42,3,13.67,clear sky
134,Goryachiy Klyuch,RU,44.6308,39.13,55.44,82,100,10.4,heavy intensity rain
135,Chimbote,PE,-9.0853,-78.5783,66.2,75,100,8.34,overcast clouds
136,Portland,US,45.5234,-122.6762,53.71,89,40,0.0,scattered clouds
137,Cabo San Lucas,MX,22.8909,-109.9124,84.51,74,20,6.91,few clouds
138,Russell,US,32.3502,-85.1999,75.9,84,20,4.61,few clouds
139,Henties Bay,NA,-22.116,14.2845,58.86,76,5,11.97,clear sky
140,Reconquista,AR,-29.15,-59.65,66.94,27,76,15.5,broken clouds
141,La Ronge,CA,55.1001,-105.2842,52.05,54,40,4.61,scattered clouds
142,Ushirombo,TZ,-3.4919,31.9639,81.77,41,98,10.09,overcast clouds
143,Bafilo,TG,9.35,1.2667,84.42,59,86,2.13,overcast clouds
144,Saint-Philippe,RE,-21.3585,55.7679,74.79,80,25,16.55,scattered clouds
145,San Patricio,US,28.017,-97.5169,81.05,74,60,5.77,broken clouds
146,Kununurra,AU,-15.7667,128.7333,82.38,65,42,3.44,scattered clouds
147,Lamu,KE,-2.2717,40.902,79.02,78,47,13.11,scattered clouds
148,Joshimath,IN,30.5667,79.5667,66.22,91,77,0.36,broken clouds
149,Carnarvon,AU,-24.8667,113.6333,64.47,77,0,17.27,clear sky
150,Taoudenni,ML,22.6783,-3.9836,108.0,6,45,6.44,scattered clouds
151,Chokurdakh,RU,70.6333,147.9167,24.03,96,100,9.75,overcast clouds
152,Dobson,US,36.3957,-80.7226,77.4,84,78,4.99,broken clouds
153,Altamira,BR,-3.2033,-52.2064,87.89,66,75,9.22,broken clouds
154,Ilulissat,GL,69.2167,-51.1,28.42,59,80,6.91,broken clouds
155,Martapura,ID,-3.4167,114.85,77.09,100,90,2.3,overcast clouds
156,Birao,CF,10.2849,22.7882,88.3,53,52,2.86,broken clouds
157,Taitung,TW,22.7583,121.1444,78.37,67,0,9.64,clear sky
158,Zelenogradsk,RU,54.9589,20.4767,62.65,67,0,13.42,clear sky
159,Coolum Beach,AU,-26.5333,153.1,70.11,91,1,7.43,light rain
160,Whitehorse,CA,60.7161,-135.0538,30.31,92,100,5.99,overcast clouds
161,Winchester,GB,51.0651,-1.3187,61.27,72,40,5.99,scattered clouds
162,Senneterre,CA,48.3835,-77.2328,55.71,62,0,5.1,clear sky
163,Ponta Do Sol,PT,32.6667,-17.1,82.0,73,26,0.76,scattered clouds
164,Chau Doc,VN,10.7,105.1167,80.94,80,99,3.42,overcast clouds
165,Dosso,NE,13.049,3.1937,98.67,26,40,5.03,scattered clouds
166,Saint Anthony,US,45.0205,-93.218,62.78,87,1,5.01,clear sky
167,Mezen,RU,65.8522,44.24,45.39,94,100,6.17,overcast clouds
168,Panama City,PA,8.9936,-79.5197,88.43,73,40,9.22,scattered clouds
169,Bethel,US,41.3712,-73.414,73.56,71,1,0.0,clear sky
170,Cairns,AU,-16.9167,145.7667,73.35,92,100,0.0,overcast clouds
171,Tiksi,RU,71.6872,128.8694,26.02,91,86,12.35,overcast clouds
172,Kodiak,US,57.79,-152.4072,38.71,60,75,11.5,volcanic ash
173,Khatanga,RU,71.9667,102.5,17.65,95,94,8.55,overcast clouds
174,Joensuu,FI,62.6012,29.7632,52.29,70,0,13.8,clear sky
175,Severodvinsk,RU,64.5635,39.8302,51.91,86,97,6.4,overcast clouds
176,Saint George,US,37.1041,-113.5841,73.35,31,1,0.0,clear sky
177,Port Keats,AU,-14.25,129.55,79.3,85,100,8.61,overcast clouds
178,Paita,PE,-5.0892,-81.1144,68.5,71,42,11.45,scattered clouds
179,Faya,SA,18.3851,42.4509,69.91,53,100,6.17,overcast clouds
180,Teahupoo,PF,-17.8333,-149.2667,67.96,76,10,8.57,light rain
181,Yar-Sale,RU,66.8333,70.8333,33.01,71,99,6.11,overcast clouds
182,Jibuti,DJ,11.5,42.5,87.22,37,90,11.27,overcast clouds
183,Labuhan,ID,-6.8844,112.2051,79.95,69,62,10.25,light rain
184,Dabat,ET,12.9842,37.765,57.18,82,99,4.54,light rain
185,Ozinki,RU,51.1786,49.6769,52.83,49,100,6.13,overcast clouds
186,Lagoa,PT,39.05,-27.9833,70.95,89,100,11.18,overcast clouds
187,Mount Gambier,AU,-37.8333,140.7667,50.47,87,46,12.21,scattered clouds
188,Leningradskiy,RU,69.3833,178.4167,16.27,83,85,4.29,overcast clouds
189,Beloha,MG,-25.1667,45.05,77.36,56,11,9.71,few clouds
190,Zholymbet,KZ,51.7433,71.7122,38.86,89,100,6.76,overcast clouds
191,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,75,10.36,light rain
192,Ranong,TH,9.9658,98.6348,78.55,83,48,3.27,scattered clouds
193,Saldanha,ZA,-33.0117,17.9442,58.05,66,3,17.65,clear sky
194,North Bend,US,43.4065,-124.2243,48.94,100,90,4.61,fog
195,Oga,IT,46.4631,10.347,53.64,75,94,9.13,overcast clouds
196,Meulaboh,ID,4.1363,96.1285,77.58,79,2,3.06,clear sky
197,Port Alfred,ZA,-33.5906,26.891,60.94,57,55,17.52,broken clouds
198,Luena,AO,-11.7833,19.9167,78.26,47,100,6.51,overcast clouds
199,Tshikapa,CD,-6.4167,20.8,82.0,68,100,1.61,light rain
200,Paducah,US,37.0834,-88.6001,73.62,83,40,9.22,scattered clouds
201,Vaitape,PF,-16.5167,-151.75,77.74,75,4,7.74,light rain
202,Rawson,AR,-43.3002,-65.1023,56.28,37,1,12.06,clear sky
203,Iqaluit,CA,63.7506,-68.5145,37.13,74,75,0.0,broken clouds
204,Hinesville,US,31.8469,-81.5959,80.49,80,1,0.0,clear sky
205,Nome,US,64.5011,-165.4064,24.87,80,1,5.75,clear sky
206,Kangaatsiaq,GL,68.3065,-53.4641,29.41,71,96,10.78,overcast clouds
207,Hilo,US,19.7297,-155.09,71.33,85,90,4.61,overcast clouds
208,Tondano,ID,1.3038,124.9112,69.89,93,98,2.51,overcast clouds
209,Kaeo,NZ,-35.1,173.7833,62.33,97,100,13.11,light rain
210,Clyde River,CA,70.4692,-68.5914,38.41,77,91,3.62,overcast clouds
211,Bowen,AU,-20.0167,148.2333,74.52,94,6,6.4,clear sky
212,Tarrafal,CV,15.2833,-23.7667,90.39,78,82,10.07,broken clouds
213,Lavrentiya,RU,65.5833,-171.0,23.97,75,88,4.27,overcast clouds
214,Gold Coast,AU,-28.0,153.4333,66.99,88,1,4.52,clear sky
215,Impfondo,CG,1.6381,18.0667,82.69,66,90,0.69,overcast clouds
216,Muisne,EC,0.6,-80.0333,80.71,80,96,10.65,overcast clouds
217,Port Blair,IN,11.6667,92.75,81.27,80,46,5.7,scattered clouds
218,Sitka,US,57.0531,-135.33,39.09,87,90,5.75,light rain
219,Mogadishu,SO,2.0371,45.3438,78.94,81,18,16.55,few clouds
220,Phulera,IN,26.8667,75.2333,85.86,57,98,8.19,overcast clouds
221,Selizharovo,RU,56.8519,33.4487,45.61,78,100,4.54,light rain
222,Yarim,YE,14.298,44.3779,61.3,59,95,1.21,overcast clouds
223,Evensk,RU,61.95,159.2333,41.52,63,100,19.95,overcast clouds
224,Pedernales,DO,18.0384,-71.744,84.92,61,100,14.67,overcast clouds
225,Dikson,RU,73.5069,80.5464,34.52,98,100,24.29,overcast clouds
226,Baghdad,IQ,33.3406,44.4009,93.11,21,0,5.75,clear sky
227,Aldan,RU,58.6031,125.3894,21.99,94,72,3.02,broken clouds
228,Taklisah,TN,36.7833,10.6333,84.61,60,0,19.42,clear sky
229,At-Bashi,KG,41.1702,75.8106,46.96,67,93,4.41,overcast clouds
230,Aklavik,CA,68.2191,-135.0107,34.63,100,90,14.97,light intensity drizzle
231,Saint-Francois,FR,46.4154,3.9054,57.47,94,75,6.91,broken clouds
232,Cacequi,BR,-29.8836,-54.825,67.3,75,98,12.46,overcast clouds
233,Limbazi,LV,57.5129,24.7194,59.04,60,22,11.56,few clouds
234,Georgetown,MY,5.4112,100.3354,84.88,83,20,2.3,few clouds
235,Kambove,CD,-10.8764,26.5969,73.13,61,82,8.32,light rain
236,East London,ZA,-33.0153,27.9116,59.94,72,20,14.97,few clouds
237,Port Hardy,CA,50.6996,-127.4199,48.2,79,18,0.67,few clouds
238,Saint-Ambroise,CA,48.5501,-71.3324,54.57,55,55,4.03,broken clouds
239,Srednekolymsk,RU,67.45,153.6833,22.08,96,99,2.77,overcast clouds
240,Luang Prabang,LA,19.8856,102.1347,76.06,85,50,1.95,scattered clouds
241,Hambantota,LK,6.1241,81.1185,81.37,79,6,15.32,clear sky
242,Hualmay,PE,-11.0964,-77.6139,64.78,77,78,9.24,broken clouds
243,Asau,RO,46.4333,26.4,60.76,57,93,4.25,overcast clouds
244,Souillac,MU,-20.5167,57.5167,73.36,94,75,10.36,broken clouds
