City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Kieta,PG,79.2,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
504,Suez,EG,81.97,clear sky,29.9737,32.5263,Green House
507,Nanakuli,US,76.1,clear sky,21.3906,-158.1547,Camp Pālehua
509,Coruripe,BR,83.48,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
510,Manono,CD,85.06,overcast clouds,-7.3,27.4167,Hotel hewa bora
519,Cabedelo,BR,86.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
521,Itarema,BR,88.75,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
522,Alta Floresta,BR,89.42,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
523,Jishou,CN,75.29,clear sky,28.3167,109.7167,7 Days Inn
525,Sungairaya,ID,80.29,overcast clouds,0.7,108.9,Mess P.Milu
528,Kendari,ID,75.25,clear sky,-3.945,122.4989,Hotel Wixel
530,Tanete,ID,75.61,light rain,-3.9443,119.7848,Wisma Tri Multi
534,Mwingi,KE,80.73,overcast clouds,-0.9344,38.0601,Thorn Tree by The Address
536,Castelldefels,ES,79.54,few clouds,41.2779,1.9703,Gran Hotel Rey Don Jaime
541,Tabou,CI,80.26,light rain,4.423,-7.3528,hotêl doufoulougou
542,Ouesso,CG,75.54,overcast clouds,1.6136,16.0517,ABENIE Hotel
543,Rodrigues Alves,BR,89.8,few clouds,-7.738,-72.6509,Pousada Aconchego
546,Mlonggo,ID,76.51,overcast clouds,-6.5333,110.7,Asia Metal Art
548,Praia Da Vitoria,PT,75.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
550,Cotonou,BJ,87.78,thunderstorm,6.3654,2.4183,Novotel Cotonou Orisha
551,Redlands,US,81.27,few clouds,34.0556,-117.1825,Dynasty Suites Redlands
552,Miranda,CO,80.65,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
553,Baturaja,ID,76.91,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
558,Navolato,MX,82.13,overcast clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
563,Honavar,IN,79.95,overcast clouds,14.2833,74.45,Hotel Sagar Residency
564,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
572,Mandiana,GN,88.75,scattered clouds,10.6333,-8.6833,Motels rouzo
580,Sam Chuk,TH,80.24,light rain,14.7576,100.0899,Samchuk Resort
583,Pontianak,ID,76.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
588,Tonj,SS,81.45,light rain,7.2737,28.6822,Lakan Hotel
589,Bati,ET,75.29,broken clouds,11.1833,40.0167,Adi 01 Kebele
590,Odweyne,SO,82.44,broken clouds,9.4092,45.064,Eng Hiirey House
591,Kudat,MY,80.53,few clouds,6.8837,116.8477,Dream Garden Hotel
593,Ambikapur,IN,75.54,light rain,23.1167,83.2,STARiHOTEL Ambikapur
594,Tual,ID,81.19,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
596,Mormugao,IN,81.72,broken clouds,15.4,73.8,Coconut Creek Resort
604,Tomatlan,MX,79.74,overcast clouds,19.9333,-105.25,El Salvial
610,Princeton,US,87.03,overcast clouds,25.5384,-80.4089,American Best Inn
615,Mongagua,BR,89.44,overcast clouds,-24.0931,-46.6208,Hostel Aloha Brasil
620,Ciudad Bolivar,VE,88.65,overcast clouds,8.1222,-63.5497,Hotel Edi
622,Carutapera,BR,89.71,broken clouds,-1.195,-46.02,Lidera
626,Alexandria,EG,75.87,clear sky,31.2156,29.9553,Royal Crown Hotel
629,Los Llanos De Aridane,ES,77.13,scattered clouds,28.6585,-17.9182,Valle Aridane
634,Sao Gabriel Da Cachoeira,BR,87.6,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
641,Harper,LR,81.09,light rain,4.375,-7.7169,Screensaver
645,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
646,La Palma,US,83.97,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
647,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
649,Hopewell,US,80.22,broken clouds,37.3043,-77.2872,Best Western Plus Hopewell Fort Lee
650,Naples,IT,77.5,few clouds,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
653,Viet Tri,VN,82.35,few clouds,21.3019,105.4308,Trung tâm Hội nghị tỉnh Phú Thọ
654,Morant Bay,JM,87.42,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
655,Portel,BR,79.92,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
657,Ixtapa,MX,82.22,few clouds,20.7,-105.2,Hotel Plaza Providencia
659,Pentecoste,BR,81.68,clear sky,-3.7928,-39.2703,Motel Big love
660,Puerto Leguizamo,CO,89.24,scattered clouds,-0.1934,-74.7819,la casona de juancho
661,Ko Samui,TH,84.51,overcast clouds,9.5357,99.9357,The Passage Samui Villas & Resort
662,Luziania,BR,89.98,scattered clouds,-16.2525,-47.9503,HOTEL SARON
667,Golden Gate,US,86.99,clear sky,26.1879,-81.6951,Quality Inn & Suites Golf Resort
668,Ilheus,BR,84.02,scattered clouds,-14.7889,-39.0494,Barravento Hotel
670,Kharsawan,IN,77.72,scattered clouds,22.8,85.8333,Mohan pusty HOME
671,Villa Del Rosario,CO,88.18,few clouds,7.8339,-72.4742,Hotel Villas de San Diego
673,San Antonio,US,83.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
